item_order,order_area,order_num
order539,7956977.5,19
order317,15059732.25,34
order392,3671741.0,16
order227,14977306.25,36
order515,11012304.0,50
order38,47157604.9,126
order226,23314157.5,103
order222,26050105.0,102
order174,13945648.0,20
order371,15839300.0,49
order516,23426553.5,57
order544,12699980.0,38
order404,10847596.0,50
order71,13834753.0,39
order426,14308573.75,47
order130,17394454.0,48
order120,6911114.5,24
order319,29761193.75,80
order225,28916249.5,68
order228,7625679.5,25
order223,10366783.5,34
order322,11143270.0,30
order425,7821095.0,31
order192,11921658.8,37
order139,15941403.5,37
order34,19474883.299999997,50
order541,26948211.5,54
order427,25013561.5,67
order36,21954420.75,61
order514,15658739.5,33
order141,20237677.5,74
order470,3173319.5,15
order469,24333942.0,94
order482,19805191.0,57
order543,19925236.7,49
order485,3989745.0,19
order542,20990998.0,40
order21,680000.0,10
order471,23151320.5,46
order424,17134845.5,51
order140,14249228.5,55
order350,21210545.0,51
order481,12093515.0,42
order386,12178211.5,50
order512,19104043.1,58
order395,7105958.0,20
order190,24968317.5,63
order483,25260992.0,51
order131,23606577.5,64
order138,17873934.0,45
order127,18750123.0,63
order387,13712418.0,26
order39,2632699.2,16
order37,23578180.5,89
order480,12346964.25,45
order128,3356130.0,19
order467,3918462.0,15
order428,16946820.0,39
order348,17356567.0,30
order3,3769584.5,7
order48,5380640.0,13
order394,6093929.0,37
order311,15623743.899999999,34
order486,3954806.0,19
order320,5118607.0,21
order505,281648.0,2
order351,11827898.0,42
order191,14935337.6,53
order264,6951396.5,32
order224,9127548.0,16
order312,13291258.399999999,34
order221,3685260.0,10
order135,12976312.0,35
order35,18143023.2,52
order419,2003308.0,4
order513,11820632.7,31
order484,7924514.0,16
order119,4883012.0,14
order363,84284.0,1
order310,5090723.5,19
order193,6843257.5,17
order540,21209757.0,23
order284,10682893.0,21
order435,3710414.5,13
order118,6452073.0,23
order173,4527259.0,20
order57,2670977.0,15
order122,5616581.0,23
order468,8261579.5,23
order430,915300.0,5
order56,1081996.0,2
order108,8516955.0,52
order524,20225896.5,69
order199,18280340.3,51
order339,15968390.0,64
order390,10353050.0,34
order260,22894066.45,49
order297,47549564.5,130
order479,24811159.0,52
order232,25496277.25,83
order301,3760110.0,13
order220,6955448.25,33
order388,3665476.5,26
order381,16099376.6,35
order107,24044716.0,49
order389,30622225.0,135
order194,4806640.5,37
order463,8466314.5,64
order110,19036060.0,32
order168,23561457.4,63
order169,15300617.0,39
order377,10778708.0,33
order423,23945490.0,92
order307,19929072.0,71
order457,4959996.5,29
order527,24589445.7,63
order32,22689459.0,75
order379,23346096.25,49
order442,15119656.0,34
order438,19263168.95,33
order536,23461125.0,66
order382,8852966.0,55
order526,5767029.0,13
order106,10506804.5,65
order229,2825715.0,12
order436,13135363.0,39
order104,6197600.0,36
order197,16536784.0,34
order519,23360744.0,45
order518,16974959.5,35
order195,19301461.5,48
order456,18597993.0,30
order231,19291294.0,62
order378,22809360.5,66
order296,30846860.2,86
order306,12981170.1,49
order9,5125553.0,32
order352,20232565.5,46
order299,53611108.5,163
order517,7812936.0,24
order298,3019265.0,23
order198,5571176.0,33
order63,21333670.0,61
order520,16223654.0,39
order393,11407228.5,28
order278,6287461.0,27
order522,10978434.0,35
order305,21359552.0,55
order85,510148.0,5
order492,26771910.0,52
order200,12549656.75,56
order493,36328135.5,104
order421,6184881.0,42
order89,2260603.5,11
order31,7372281.5,41
order137,21647698.0,56
order230,10264412.5,31
order405,6819912.0,22
order384,13045915.9,39
order308,4028112.0,12
order302,14371775.0,55
order523,4378608.0,21
order300,15011324.5,30
order136,14597513.5,38
order196,6143415.0,37
order458,3200810.0,30
order105,18065275.5,79
order383,23146753.699999996,47
order295,22713104.0,63
order521,3894120.0,25
order491,6453096.25,31
order380,6217658.5,27
order134,12689140.0,40
order11,911493.0,2
order434,3585050.0,13
order279,9289444.0,20
order304,4337941.0,17
order525,5139595.0,21
order171,197276.0,1
order455,1010486.0,10
order126,134592.0,2
order170,286080.0,2
order385,160000.0,1
order489,21804022.5,76
order53,17608569.5,76
order52,22596231.5,70
order157,53446490.5,176
order422,49753625.4,157
order504,1478555.0,15
order499,34981762.0,67
order80,23866967.0,63
order156,6653936.0,18
order30,31806700.200000003,116
order67,11080494.0,31
order68,11334904.799999999,36
order10,41127705.0,114
order475,25032604.0,100
order72,35321790.0,108
order132,17072119.5,33
order154,7536797.0,45
order76,78778886.5,183
order461,4091104.5,17
order275,32574525.0,93
order79,22070153.0,61
order84,30068650.0,67
order201,32094966.0,105
order538,32962145.5,123
order477,4676583.5,22
order445,34931845.0,136
order129,13354088.0,37
order274,9614254.4,26
order503,22239439.5,50
order474,17653277.0,56
order113,35578523.5,103
order33,8131885.0,32
order497,19516615.5,72
order490,36812793.0,87
order459,14811371.5,81
order73,18566265.0,46
order82,11483609.0,61
order391,3266143.0,17
order153,16004935.0,54
order54,44866687.5,151
order502,3077589.0,15
order88,8438422.0,35
order151,23906662.0,65
order133,5219701.0,19
order86,1143472.0,6
order78,11690203.5,56
order413,17972128.5,51
order411,23519883.0,41
order150,17737771.5,61
order70,13764264.5,41
order81,50773703.0,149
order74,21371900.5,64
order464,25214500.5,67
order498,9268324.5,46
order400,8851065.0,68
order446,20147447.5,90
order412,23631805.0,63
order537,20501751.0,48
order376,10587903.5,30
order55,4038496.0,14
order69,7841354.199999999,28
order276,13931440.5,47
order8,1024132.0,11
order401,16001776.5,55
order83,9611994.0,38
order465,28001386.0,99
order152,6971065.75,32
order500,2859630.0,30
order444,9887373.0,26
order495,2694000.0,12
order466,6111264.0,19
order277,8375985.0,32
order202,12088169.5,19
order496,11028195.5,36
order273,23305468.0,52
order410,9833177.6,33
order271,15550196.0,24
order51,14279993.5,40
order478,17222145.5,59
order77,8220753.0,29
order501,5740368.0,27
order158,2111390.0,10
order203,16281840.0,26
order75,9094180.5,30
order272,16435822.0,23
order87,1421585.0,5
order460,8749104.0,31
order447,2787491.0,14
order155,5487025.0,14
order429,3199356.0,16
order303,203934.0,1
order462,38445889.8,139
order44,58947860.5,110
order2,59461580.25,200
order209,22046944.3,85
order210,37521684.5,139
order329,11805055.5,57
order291,35163558.5,126
order65,31680534.0,70
order313,27138940.55,114
order280,41574475.0,121
order211,35944073.5,108
order374,11154771.0,43
order332,4858463.0,26
order293,22879642.5,100
order13,3706026.0,16
order333,19218778.5,84
order47,50897132.0,155
order318,7094346.0,38
order61,10788396.5,63
order42,42427099.0,111
order256,14363313.0,76
order290,23191545.0,88
order281,13156130.0,64
order12,32105980.0,69
order472,26488565.25,72
order373,12837000.0,61
order213,37512085.5,66
order316,14863739.0,54
order60,22610868.5,75
order448,7723258.0,33
order283,47005683.45,143
order207,13226673.25,38
order205,9319620.0,29
order62,24258913.0,94
order294,14770584.5,61
order314,6037426.8,17
order326,21665428.5,66
order545,10504766.5,69
order331,11181178.0,36
order292,51608294.0,141
order206,4682277.0,28
order41,27612590.0,80
order375,4237568.0,16
order323,24979879.0,93
order546,35378076.75,69
order335,20601166.5,44
order46,13299441.5,58
