item_order,order_area,order_num
order267,5776661.5,26
order17,20622468.0,32
order16,54664052.0,115
order21,32896443.0,126
order116,3895821.0,12
order299,43625834.5,87
order260,11316094.0,28
order35,21295401.0,69
order362,49088615.0,134
order259,7110219.0,20
order34,37518837.5,137
order184,34688542.5,94
order31,19682048.0,70
order237,26889710.25,76
order108,18328578.5,50
order326,18869234.75,61
order329,32031155.0,115
order328,27668872.0,104
order379,8813025.0,41
order39,45451435.5,132
order59,18639606.5,52
order156,20883227.099999998,65
order151,7869488.0,28
order153,25663954.0,60
order265,15460726.5,73
order268,25211991.5,87
order311,3776372.0,21
order60,21472740.5,65
order147,24739423.0,60
order310,19500308.5,70
order40,10945634.0,34
order138,22964799.5,69
order333,20484482.200000003,42
order269,31411263.5,73
order33,46236921.8,139
order30,12382400.0,66
order41,15163995.0,35
order43,5030206.0,42
order325,5027306.0,34
order380,7978661.5,50
order295,6223101.699999999,27
order250,4985436.0,22
order150,9289339.25,51
order20,6023455.0,20
order360,11910143.5,32
order357,16229884.8,32
order110,41077520.5,134
order61,18441794.299999997,66
order55,28020934.5,92
order56,6083259.6,19
order58,4494848.0,23
order118,41166173.0,66
order117,38384226.0,112
order308,35867921.25,120
order29,12868641.0,66
order377,14290667.0,42
order152,22336721.5,50
order99,9346768.0,22
order356,21243575.0,36
order358,19280879.0,49
order104,30205062.5,87
order324,32863641.0,85
order303,24253378.6,85
order271,5528355.5,31
order306,31670827.0,84
order350,755153.0,2
order62,15968807.75,45
order154,5936398.0,26
order107,15250299.0,50
order115,4358625.0,24
order32,16011732.5,65
order148,10729242.0,31
order381,17209698.0,42
order106,7846309.5,19
order300,16441792.0,41
order149,8883365.3,45
order309,3738586.0,19
order270,3895909.0,17
order182,13713798.0,37
order227,20357713.8,53
order155,5202192.0,20
order266,1419075.0,8
order307,2316230.0,8
order359,14067629.0,35
order378,4377212.0,23
order272,1865262.0,11
order19,7477658.899999999,23
order18,9422161.0,28
order42,2786619.0,19
order1,1343528.0,8
order28,488072.0,8
order23,3858450.0,10
order124,32640413.0,89
order199,7013810.0,30
order249,27540636.0,69
order101,13723606.5,58
order344,48826451.0,119
order123,5641269.5,13
order342,27569618.0,93
order289,27516821.200000003,92
order257,10977399.25,36
order286,13185684.0,30
order143,29981362.0,119
order132,31028362.099999998,78
order209,16069864.0,32
order340,26708053.0,96
order206,25712752.5,64
order315,17646457.5,61
order355,18219045.0,64
order254,3257224.0,16
order89,5832011.5,33
order71,11795815.0,31
order314,14440100.0,55
order229,4332117.5,34
order255,2821845.5,11
order238,22605184.0,45
order81,15828005.0,61
order284,14314055.25,69
order144,26502423.0,73
order322,4434215.5,29
order243,10019748.0,38
order88,16086533.5,53
order127,4917251.0,14
order341,15578224.5,46
order3,14051009.0,32
order247,58032918.25,186
order346,9984107.0,18
order126,19006836.0,45
order228,6021205.0,29
order128,21598551.0,51
order48,7257747.0,35
order253,6328153.5,43
order287,25783804.0,60
order345,31032655.5,112
order349,2965844.0,34
order296,18379910.0,51
order146,1270475.0,6
order15,18334227.5,62
order323,24240038.0,49
order82,11312135.0,16
order207,27310708.5,58
order343,27184085.5,76
order100,4384143.0,26
order244,20348580.1,53
order129,21626844.0,42
order198,15832181.0,30
order246,18503761.1,51
order280,7268076.5,32
order283,13196015.5,50
order214,4799716.5,27
order230,21276006.0,68
order131,3876599.25,11
order205,14707818.5,25
order288,6582225.5,47
order130,10780603.7,26
order52,12165202.5,32
order47,5200427.0,30
order297,2975530.5,13
order83,6419844.0,17
order210,4644859.5,16
order245,9828258.0,38
order208,8396980.0,42
order248,10416683.0,33
order36,6422576.649999999,23
order285,9542108.5,35
order239,6706740.5,21
order231,7042247.0,21
order348,1731472.0,17
order125,14859200.0,21
order2,11754682.0,39
order157,16807350.0,30
order109,7460570.0,26
order240,7341741.5,18
order298,3110768.7,13
order335,2854502.5,11
order84,6335546.0,14
order313,505680.0,7
order347,1482922.0,17
order176,6050693.0,29
order46,11392208.0,51
order279,1614752.0,3
order102,737410.0,12
order290,558656.0,4
order90,6674716.5,14
order376,18720546.5,60
order68,18806371.0,48
order37,37317622.5,126
order63,14966041.5,39
order69,24685243.0,85
order24,21801806.5,77
order353,14764346.5,57
order213,17516980.0,21
order8,10246504.0,34
order11,23151276.75,65
order119,12484665.5,59
order367,12180271.0,46
order368,26707553.0,75
order316,17863611.8,46
order302,19479382.0,96
order70,12400626.0,54
order6,21149895.8,63
order175,16559659.3,48
order168,40951465.5,100
order312,23265509.95,82
order51,18081723.5,86
order45,17095520.0,69
order292,30863986.0,78
order92,19647674.0,69
order177,37122440.0,110
order204,11343078.0,53
order327,16274065.4,57
order203,18789499.5,61
order50,21838469.0,93
order318,27204624.75,87
order10,11208112.5,67
order44,12201929.5,30
order9,11783141.5,41
order158,24949291.8,59
order241,17667251.5,43
order174,13596876.0,74
order167,27846712.75,106
order65,28832539.1,85
order114,16537720.75,40
order165,11205779.2,65
order25,10615660.1,35
order282,4532540.0,19
order375,52052222.0,133
order212,4126009.0,27
order38,28567293.5,56
order67,29311171.0,57
order113,6170812.25,14
order171,16320227.5,74
order86,23870617.0,51
order195,19817541.0,41
order173,16415791.299999999,41
order321,8140567.0,18
order372,22159366.25,63
order339,17672593.5,45
order211,20190062.6,83
order169,17262271.5,67
order166,36089943.5,113
order319,17727656.0,71
order139,5985632.5,39
order192,44046431.5,109
order121,22672252.0,67
order369,38064387.5,90
order354,8385973.75,38
order226,18701962.5,62
order191,23558242.5,69
order352,9185880.0,16
order7,18054690.0,54
order170,14632459.5,64
order85,22274693.5,50
order190,20578116.0,40
order291,17168747.0,46
order66,6807243.0,17
order172,19456887.0,41
order122,14048506.0,24
order351,8435096.0,22
order301,8741002.5,55
order185,12648431.75,25
order111,16621849.5,57
order317,18225290.5,50
order293,9428398.0,28
order281,23678233.5,65
order120,4716786.0,25
order159,9144055.5,26
order202,3933597.0,17
order224,2590628.0,18
order160,16910780.0,30
order87,6282644.5,17
order223,8255129.0,16
order91,8472520.0,12
order194,15506718.5,21
order112,2437934.5,12
order201,13702816.0,48
order193,18940179.35,35
order242,13024869.5,26
order26,3526640.5,18
order371,10859406.0,22
order370,6863522.25,29
order320,6628125.5,16
order294,1565318.0,2
order64,2356028.0,4
order274,9525755.0,29
order93,14759334.0,48
order145,11573548.0,53
order95,23908274.95,124
order97,24303388.5,119
order164,10477745.0,45
order361,22699065.0,64
order133,8063487.7,29
order332,14950629.0,34
order76,15298282.0,33
order197,7627913.5,31
order5,9698810.5,37
order73,12437889.0,46
order365,16708792.0,38
order183,25143262.0,86
order221,3407357.4,20
order215,17699575.5,51
order273,9563248.0,24
order105,29898477.0,31
order331,34097240.0,63
order161,19418201.0,40
order163,16343105.5,39
order236,23239793.0,66
order141,25622576.0,72
order338,19970697.0,66
order178,38262536.0,158
order251,21921417.0,79
order77,13236055.5,66
order196,39280089.5,78
order235,17140498.0,45
order49,3963427.0,23
order276,14292944.0,27
order264,3259397.0,16
order374,7568795.5,53
order336,20496813.0,61
order218,13825376.75,54
order217,59050672.6,175
order181,19099694.5,77
order4,18719029.5,50
order234,39863146.05,152
order188,11156866.0,54
order222,22862907.0,71
order261,18713877.0,30
order80,4372892.5,29
order74,5751859.0,42
order277,15635683.0,24
order136,23563719.5,80
order220,12673432.0,50
order75,16888754.0,27
order304,7992489.2,45
order142,22135425.5,77
order134,4921544.5,42
order366,38163139.0,57
order305,8966797.0,27
order363,40912765.0,74
order233,17643724.9,45
order179,22856510.5,112
order13,1424092.0,10
order98,32538256.75,66
order103,20097737.0,78
order258,25759330.0,73
order373,27162097.0,83
order180,18743757.0,79
order216,42971239.8,160
order330,3253827.5,23
order22,6416019.0,18
order72,5602838.0,11
order275,11023488.0,34
order262,12628463.0,29
order53,7094082.5,36
order57,1528824.0,10
order186,3446290.0,14
order78,29763431.5,72
order135,10959315.0,31
order278,25579236.5,50
order187,1752018.0,10
order219,14012920.75,44
order94,13889783.2,22
order162,11956333.5,49
order252,8810265.0,16
order200,2674099.0,13
order137,25501872.2,40
order334,6331583.0,25
order337,14010311.15,58
order225,5780726.0,18
order96,14273395.5,40
order140,14085355.0,25
order189,316480.0,6
order27,1659664.5,17
order256,11699754.8,19
order364,291926.0,3
order54,7492830.0,8
order12,349856.0,4
order14,13356806.0,24
order79,495148.0,2
order232,3283470.0,17
order263,439396.0,4
